"Settlement Date","Issue Name","Symbol","Market","Current Short","Previous Short","Chg","% Change from Previous","Avg Daily Vol","Days to Cover","Revision Flag"
"2025-08-29","Tesla, Inc. Common Stock","TSLA","NNM","78272760","76710309","1562451","2.04","73523676","1.06",
"2025-08-15","Tesla, Inc. Common Stock","TSLA","NNM","76710309","71986527","4723782","6.56","78466917","1",
"2025-07-31","Tesla, Inc. Common Stock","TSLA","NNM","71986527","69962139","2024388","2.89","98402157","1",
"2025-07-15","Tesla, Inc. Common Stock","TSLA","NNM","69962139","80074233","-10112094","-12.63","96775833","1",
"2025-06-30","Tesla, Inc. Common Stock","TSLA","NNM","80074233","77096746","2977487","3.86","104302063","1",
"2025-06-13","Tesla, Inc. Common Stock","TSLA","NNM","77096746","76998079","98667","0.13","138002054","1",
"2025-05-30","Tesla, Inc. Common Stock","TSLA","NNM","76998079","85015009","-8016930","-9.43","102126773","1",
"2025-05-15","Tesla, Inc. Common Stock","TSLA","NNM","85015009","81317940","3697069","4.55","106155805","1",
"2025-04-30","Tesla, Inc. Common Stock","TSLA","NNM","81317940","81302709","15231","0.02","121293722","1",
"2025-04-15","Tesla, Inc. Common Stock","TSLA","NNM","81302709","76463964","4838745","6.33","157598049","1",
"2025-03-31","Tesla, Inc. Common Stock","TSLA","NNM","76463964","81331870","-4867906","-5.99","132428494","1",
"2025-03-14","Tesla, Inc. Common Stock","TSLA","NNM","81331870","67129145","14202725","21.16","125160315","1",
"2025-02-28","Tesla, Inc. Common Stock","TSLA","NNM","67129145","61498198","5630947","9.16","84714426","1",
"2025-02-14","Tesla, Inc. Common Stock","TSLA","NNM","61498198","59612004","1886194","3.16","81171592","1",
"2025-01-31","Tesla, Inc. Common Stock","TSLA","NNM","59612004","63254084","-3642080","-5.76","70139920","1",
"2025-01-15","Tesla, Inc. Common Stock","TSLA","NNM","63254084","67379077","-4124993","-6.12","81212823","1",
"2024-12-31","Tesla, Inc. Common Stock","TSLA","NNM","67379077","80765425","-13386348","-16.57","97574248","1",
"2024-12-13","Tesla, Inc. Common Stock","TSLA","NNM","80765425","77192871","3572554","4.63","82132352","1",
"2024-11-29","Tesla, Inc. Common Stock","TSLA","NNM","77192871","76444266","748605","0.98","75481098","1.02",
"2024-11-15","Tesla, Inc. Common Stock","TSLA","NNM","76444266","77944508","-1500242","-1.92","127500997","1",
"2024-10-31","Tesla, Inc. Common Stock","TSLA","NNM","77944508","79364249","-1419741","-1.79","82618395","1",
"2024-10-15","Tesla, Inc. Common Stock","TSLA","NNM","79364249","74332630","5031619","6.77","82726604","1",
"2024-09-30","Tesla, Inc. Common Stock","TSLA","NNM","74332630","77219507","-2886877","-3.74","77953284","1",
"2024-09-13","Tesla, Inc. Common Stock","TSLA","NNM","77219507","78698016","-1478509","-1.88","82966896","1",
"2024-08-30","Tesla, Inc. Common Stock","TSLA","NNM","78698016","81972363","-3274347","-3.99","70877174","1.11",
