PERMNO,date,DIVAMT,PRC,VOL,RET,CFACPR,NUMTRD,sprtrn
13407,2017-12-29,,176.46001,10261456,-0.008206,1,58551,-0.005183
13407,2018-01-02,,181.42000,18151903,0.028108,1,116907,0.008303
13407,2018-01-03,,184.67000,16886563,0.017914,1,113668,0.006399
13407,2018-01-04,,184.33000,13880896,-0.001841,1,97031,0.004029
13407,2018-01-05,,186.85001,13574535,0.013671,1,87417,0.007034
13407,2018-01-08,,188.28000,18004726,0.007653,1,99942,0.001662
13407,2018-01-09,,187.87000,12393057,-0.002178,1,84434,0.001303
13407,2018-01-10,,187.84000,10529894,-0.000160,1,72113,-0.001112
13407,2018-01-11,,187.77000,9588587,-0.000373,1,64626,0.007034
13407,2018-01-12,,179.37000,77552519,-0.044736,1,513068,0.006750
13407,2018-01-16,,178.39000,36189626,-0.005464,1,245975,-0.003524
13407,2018-01-17,,177.60001,27992376,-0.004428,1,200695,0.009415
13407,2018-01-18,,179.80000,23304932,0.012387,1,146185,-0.001616
13407,2018-01-19,,181.28999,26826540,0.008287,1,145640,0.004385
13407,2018-01-22,,185.37000,21059547,0.022505,1,133106,0.008067
13407,2018-01-23,,189.35001,25704931,0.021471,1,171465,0.002174
13407,2018-01-24,,186.55000,24334546,-0.014787,1,154474,-0.000560
13407,2018-01-25,,187.48000,17377698,0.004985,1,122963,0.000603
13407,2018-01-26,,190.00000,17759210,0.013441,1,104209,0.011841
13407,2018-01-29,,185.98000,20452509,-0.021158,1,138713,-0.006732
13407,2018-01-30,,187.12000,20884388,0.006130,1,158922,-0.010899
13407,2018-01-31,,186.89000,43487588,-0.001229,1,273475,0.000489
13407,2018-02-01,,193.09000,54216491,0.033175,1,372049,-0.000648
13407,2018-02-02,,190.28000,26685030,-0.014553,1,187285,-0.021209
13407,2018-02-05,,181.25999,33131348,-0.047404,1,270334,-0.040979
13407,2018-02-06,,185.31000,37994205,0.022344,1,305053,0.017441
13407,2018-02-07,,180.17999,27601841,-0.027683,1,214005,-0.005002
13407,2018-02-08,,171.58000,38491730,-0.047730,1,298562,-0.037536
13407,2018-02-09,,176.11000,39900949,0.026402,1,316688,0.014936
13407,2018-02-12,,176.41000,32090951,0.001703,1,232873,0.013915
13407,2018-02-13,,173.14999,21808776,-0.018480,1,165139,0.002613
13407,2018-02-14,,179.52000,28932314,0.036789,1,203274,0.013402
13407,2018-02-15,,179.96001,20921477,0.002451,1,154662,0.012069
13407,2018-02-16,,177.36000,21015586,-0.014448,1,142868,0.000373
13407,2018-02-20,,176.00999,21205646,-0.007612,1,149567,-0.005841
13407,2018-02-21,,177.91000,23200804,0.010795,1,161099,-0.005497
13407,2018-02-22,,178.99001,18464192,0.006070,1,125228,0.000974
13407,2018-02-23,,183.28999,19007288,0.024024,1,135063,0.016028
13407,2018-02-26,,184.92999,17599699,0.008948,1,119671,0.011757
13407,2018-02-27,,181.46001,15849806,-0.018764,1,120238,-0.012707
13407,2018-02-28,,178.32001,18782751,-0.017304,1,128260,-0.011096
13407,2018-03-01,,175.94000,23201625,-0.013347,1,176018,-0.013324
13407,2018-03-02,,176.62000,20039914,0.003865,1,143180,0.005072
13407,2018-03-05,,180.39999,16189070,0.021402,1,128521,0.011032
13407,2018-03-06,,179.78000,15086784,-0.003437,1,112499,0.002639
13407,2018-03-07,,183.71001,19097493,0.021860,1,133564,-0.000484
13407,2018-03-08,,182.34000,17225946,-0.007457,1,112696,0.004463
13407,2018-03-09,,185.23000,18526292,0.015850,1,130688,0.017379
13407,2018-03-12,,184.75999,15305409,-0.002537,1,112609,-0.001274
13407,2018-03-13,,181.88000,18067477,-0.015588,1,134247,-0.006364
13407,2018-03-14,,184.19000,16821728,0.012701,1,121363,-0.005724
13407,2018-03-15,,183.86000,15645035,-0.001792,1,109666,-0.000782
13407,2018-03-16,,185.09000,24403077,0.006690,1,101399,0.001703
13407,2018-03-19,,172.56000,88135235,-0.067697,1,600004,-0.014204
13407,2018-03-20,,168.14999,129940477,-0.025556,1,915870,0.001482
13407,2018-03-21,,169.39000,106646947,0.007374,1,642409,-0.001844
13407,2018-03-22,,164.89000,73741090,-0.026566,1,469971,-0.025163
13407,2018-03-23,,159.39000,53609277,-0.033356,1,379137,-0.020967
13407,2018-03-26,,160.06000,126105729,0.004204,1,836587,0.027157
13407,2018-03-27,,152.22000,79154700,-0.048982,1,512744,-0.017276
13407,2018-03-28,,153.03000,60019778,0.005321,1,423089,-0.002917
13407,2018-03-29,,159.78999,60267243,0.044174,1,359030,0.013770
13407,2018-04-02,,155.39000,36733901,-0.027536,1,256090,-0.022337
13407,2018-04-03,,156.11000,42472565,0.004634,1,267379,0.012615
13407,2018-04-04,,155.10001,49876169,-0.006470,1,292884,0.011566
13407,2018-04-05,,159.34000,41443609,0.027337,1,265082,0.006863
13407,2018-04-06,,157.20000,41642812,-0.013430,1,270267,-0.021920
13407,2018-04-09,,157.92999,34905900,0.004644,1,216255,0.003337
13407,2018-04-10,,165.03999,58935613,0.045020,1,361304,0.016727
13407,2018-04-11,,166.32001,56141989,0.007756,1,328062,-0.005525
13407,2018-04-12,,163.87000,38262456,-0.014731,1,238117,0.008251
13407,2018-04-13,,164.52000,19989361,0.003967,1,126990,-0.002887
13407,2018-04-16,,164.83000,18118335,0.001884,1,117603,0.008109
13407,2018-04-17,,168.66000,23954201,0.023236,1,153390,0.010662
13407,2018-04-18,,166.36000,20989897,-0.013637,1,143951,0.000831
13407,2018-04-19,,168.10001,24378027,0.010459,1,136276,-0.005726
13407,2018-04-20,,166.28000,19106488,-0.010827,1,123680,-0.008537
13407,2018-04-23,,165.84000,23080103,-0.002646,1,147956,0.000056
13407,2018-04-24,,159.69000,35064057,-0.037084,1,242626,-0.013381
13407,2018-04-25,,159.69000,41067304,0.000000,1,270403,0.001837
13407,2018-04-26,,174.16000,77532463,0.090613,1,504905,0.010434
13407,2018-04-27,,173.59000,29791661,-0.003273,1,202077,0.001114
13407,2018-04-30,,172.00000,20740682,-0.009159,1,136821,-0.008188
13407,2018-05-01,,173.86000,26018232,0.010814,1,163147,0.002549
13407,2018-05-02,,176.07001,30418888,0.012711,1,212734,-0.007206
13407,2018-05-03,,174.02000,24022971,-0.011643,1,172435,-0.002254
13407,2018-05-04,,176.61000,17674359,0.014883,1,128735,0.012811
13407,2018-05-07,,177.97000,18686716,0.007701,1,127786,0.003458
13407,2018-05-08,,178.92000,15571489,0.005338,1,111963,-0.000266
