"Settlement Date","Issue Name","Symbol","Market","Current Short","Previous Short","Chg","% Change from Previous","Avg Daily Vol","Days to Cover","Revision Flag"
"2025-09-15","Amplitech Group, Inc. Common S","AMPG","SC","947927","1046575","-98648","-9.43","728611","1.3",
"2025-08-29","Amplitech Group, Inc. Common S","AMPG","SC","1046575","606290","440285","72.62","843508","1.24",
"2025-08-15","Amplitech Group, Inc. Common S","AMPG","SC","606290","340281","266009","78.17","940516","1",
"2025-07-31","Amplitech Group, Inc. Common S","AMPG","SC","340281","346174","-5893","-1.7","711277","1",
"2025-07-15","Amplitech Group, Inc. Common S","AMPG","SC","346174","357557","-11383","-3.18","284600","1.22",
"2025-06-30","Amplitech Group, Inc. Common S","AMPG","SC","357557","332892","24665","7.41","167912","2.13",
"2025-06-13","Amplitech Group, Inc. Common S","AMPG","SC","332892","389364","-56472","-14.5","185879","1.79",
"2025-05-30","Amplitech Group, Inc. Common S","AMPG","SC","389364","437766","-48402","-11.06","493868","1",
"2025-05-15","Amplitech Group, Inc. Common S","AMPG","SC","437766","532108","-94342","-17.73","237666","1.84",
"2025-04-30","Amplitech Group, Inc. Common S","AMPG","SC","532108","413136","118972","28.8","485217","1.1",
"2025-04-15","Amplitech Group, Inc. Common S","AMPG","SC","413136","466098","-52962","-11.36","127884","3.23",
"2025-03-31","Amplitech Group, Inc. Common S","AMPG","SC","466098","407852","58246","14.28","281639","1.65",
"2025-03-14","Amplitech Group, Inc. Common S","AMPG","SC","407852","412173","-4321","-1.05","264487","1.54",
"2025-02-28","Amplitech Group, Inc. Common S","AMPG","SC","412173","454224","-42051","-9.26","394879","1.04",
"2025-02-14","Amplitech Group, Inc. Common S","AMPG","SC","454224","573712","-119488","-20.83","804437","1",
"2025-01-31","Amplitech Group, Inc. Common S","AMPG","SC","573712","508866","64846","12.74","1471165","1",
"2025-01-15","Amplitech Group, Inc. Common S","AMPG","SC","508866","896404","-387538","-43.23","5564742","1",
"2024-12-31","Amplitech Group, Inc. Common S","AMPG","SC","896404","2294174","-1397770","-60.93","10704236","1",
"2024-12-13","Amplitech Group, Inc. Common S","AMPG","SC","2294174","114349","2179825","1906.29","32259716","1",
"2024-11-29","Amplitech Group, Inc. Common S","AMPG","SC","114349","48509","65840","135.73","412772","1",
"2024-11-15","Amplitech Group, Inc. Common S","AMPG","SC","48509","53270","-4761","-8.94","44557","1.09",
"2024-10-31","Amplitech Group, Inc. Common S","AMPG","SC","53270","70230","-16960","-24.15","54868","1",
"2024-10-15","Amplitech Group, Inc. Common S","AMPG","SC","70230","32036","38194","119.22","24849","2.83",
"2024-09-30","Amplitech Group, Inc. Common S","AMPG","SC","32036","53148","-21112","-39.72","30531","1.05",
"2024-09-13","Amplitech Group, Inc. Common S","AMPG","SC","53148","33318","19830","59.52","49232","1.08",
"2024-08-30","Amplitech Group, Inc. Common S","AMPG","SC","33318","74425","-41107","-55.23","109678","1",
"2024-08-15","Amplitech Group, Inc. Common S","AMPG","SC","74425","65690","8735","13.3","23200","3.21",
"2024-07-31","Amplitech Group, Inc. Common S","AMPG","SC","65690","42632","23058","54.09","26156","2.51",
"2024-07-15","Amplitech Group, Inc. Common S","AMPG","SC","42632","32953","9679","29.37","30071","1.42",
"2024-06-28","Amplitech Group, Inc. Common S","AMPG","SC","32953","37784","-4831","-12.79","28557","1.15",
"2024-06-14","Amplitech Group, Inc. Common S","AMPG","SC","37784","74253","-36469","-49.11","29316","1.29",
"2024-05-31","Amplitech Group, Inc. Common S","AMPG","SC","74253","64665","9588","14.83","163802","1",
