"Settlement Date","Issue Name","Symbol","Market","Current Short","Previous Short","Chg","% Change from Previous","Avg Daily Vol","Days to Cover","Revision Flag"
"2025-09-15","Atlas Lithium Corporation Comm","ATLX","SC","863977","713329","150648","21.12","391523","2.21",
"2025-08-29","Atlas Lithium Corporation Comm","ATLX","SC","713329","518736","194593","37.51","491963","1.45",
"2025-08-15","Atlas Lithium Corporation Comm","ATLX","SC","518736","443720","75016","16.91","750081","1",
"2025-07-31","Atlas Lithium Corporation Comm","ATLX","SC","443720","512912","-69192","-13.49","407285","1.09",
"2025-07-15","Atlas Lithium Corporation Comm","ATLX","SC","512912","592846","-79934","-13.48","203794","2.52",
"2025-06-30","Atlas Lithium Corporation Comm","ATLX","SC","592846","498396","94450","18.95","306728","1.93",
"2025-06-13","Atlas Lithium Corporation Comm","ATLX","SC","498396","621139","-122743","-19.76","309712","1.61",
"2025-05-30","Atlas Lithium Corporation Comm","ATLX","SC","621139","544202","76937","14.14","224870","2.76",
"2025-05-15","Atlas Lithium Corporation Comm","ATLX","SC","544202","562475","-18273","-3.25","156258","3.48",
"2025-04-30","Atlas Lithium Corporation Comm","ATLX","SC","562475","543654","18821","3.46","96977","5.8",
"2025-04-15","Atlas Lithium Corporation Comm","ATLX","SC","543654","592717","-49063","-8.28","177313","3.07",
"2025-03-31","Atlas Lithium Corporation Comm","ATLX","SC","592717","629781","-37064","-5.89","176446","3.36",
"2025-03-14","Atlas Lithium Corporation Comm","ATLX","SC","629781","683555","-53774","-7.87","148838","4.23",
"2025-02-28","Atlas Lithium Corporation Comm","ATLX","SC","683555","632296","51259","8.11","158082","4.32",
"2025-02-14","Atlas Lithium Corporation Comm","ATLX","SC","632296","613611","18685","3.05","151813","4.16",
"2025-01-31","Atlas Lithium Corporation Comm","ATLX","SC","613611","621264","-7653","-1.23","106386","5.77",
"2025-01-15","Atlas Lithium Corporation Comm","ATLX","SC","621264","613017","8247","1.35","76082","8.17",
"2024-12-31","Atlas Lithium Corporation Comm","ATLX","SC","613017","547918","65099","11.88","100417","6.1",
"2024-12-13","Atlas Lithium Corporation Comm","ATLX","SC","547918","508519","39399","7.75","114974","4.77",
"2024-11-29","Atlas Lithium Corporation Comm","ATLX","SC","508519","498629","9890","1.98","103317","4.92",
"2024-11-15","Atlas Lithium Corporation Comm","ATLX","SC","498629","472163","26466","5.61","92418","5.4",
"2024-10-31","Atlas Lithium Corporation Comm","ATLX","SC","472163","467711","4452","0.95","152027","3.11",
"2024-10-15","Atlas Lithium Corporation Comm","ATLX","SC","467711","507401","-39690","-7.82","143194","3.27",
"2024-09-30","Atlas Lithium Corporation Comm","ATLX","SC","507401","392097","115304","29.41","194468","2.61",
"2024-09-13","Atlas Lithium Corporation Comm","ATLX","SC","392097","376363","15734","4.18","88602","4.43",
"2024-08-30","Atlas Lithium Corporation Comm","ATLX","SC","376363","322298","54065","16.77","37622","10",
