"Settlement Date","Issue Name","Symbol","Market","Current Short","Previous Short","Chg","% Change from Previous","Avg Daily Vol","Days to Cover","Revision Flag"
"2025-09-15","Brighthouse Financial, Inc. Co","BHF","NNM","2933620","2671553","262067","9.81","1136134","2.58",
"2025-08-29","Brighthouse Financial, Inc. Co","BHF","NNM","2671553","2841074","-169521","-5.97","529790","5.04",
"2025-08-15","Brighthouse Financial, Inc. Co","BHF","NNM","2841074","2568908","272166","10.59","739492","3.84",
"2025-07-31","Brighthouse Financial, Inc. Co","BHF","NNM","2568908","2261714","307194","13.58","964829","2.66",
"2025-07-15","Brighthouse Financial, Inc. Co","BHF","NNM","2261714","1997961","263753","13.2","861032","2.63",
"2025-06-30","Brighthouse Financial, Inc. Co","BHF","NNM","1997961","1914497","83464","4.36","1077711","1.85",
"2025-06-13","Brighthouse Financial, Inc. Co","BHF","NNM","1914497","1631808","282689","17.32","476097","4.02",
"2025-05-30","Brighthouse Financial, Inc. Co","BHF","NNM","1631808","1547813","83995","5.43","726779","2.25",
"2025-05-15","Brighthouse Financial, Inc. Co","BHF","NNM","1547813","1616798","-68985","-4.27","915669","1.69",
"2025-04-30","Brighthouse Financial, Inc. Co","BHF","NNM","1616798","1775759","-158961","-8.95","1060753","1.52",
"2025-04-15","Brighthouse Financial, Inc. Co","BHF","NNM","1775759","1099324","676435","61.53","1264061","1.4",
"2025-03-31","Brighthouse Financial, Inc. Co","BHF","NNM","1099324","987258","112066","11.35","574193","1.91",
"2025-03-14","Brighthouse Financial, Inc. Co","BHF","NNM","987258","852236","135022","15.84","854943","1.15",
"2025-02-28","Brighthouse Financial, Inc. Co","BHF","NNM","852236","889314","-37078","-4.17","872023","1",
"2025-02-14","Brighthouse Financial, Inc. Co","BHF","NNM","889314","1044363","-155049","-14.85","921894","1",
"2025-01-31","Brighthouse Financial, Inc. Co","BHF","NNM","1044363","1404655","-360292","-25.65","901722","1.16",
"2025-01-15","Brighthouse Financial, Inc. Co","BHF","NNM","1404655","1314284","90371","6.88","285940","4.91",
"2024-12-31","Brighthouse Financial, Inc. Co","BHF","NNM","1314284","1398814","-84530","-6.04","329094","3.99",
"2024-12-13","Brighthouse Financial, Inc. Co","BHF","NNM","1398814","1258252","140562","11.17","347090","4.03",
"2024-11-29","Brighthouse Financial, Inc. Co","BHF","NNM","1258252","1192800","65452","5.49","304416","4.13",
"2024-11-15","Brighthouse Financial, Inc. Co","BHF","NNM","1192800","1070322","122478","11.44","487983","2.44",
"2024-10-31","Brighthouse Financial, Inc. Co","BHF","NNM","1070322","895379","174943","19.54","391163","2.74",
"2024-10-15","Brighthouse Financial, Inc. Co","BHF","NNM","895379","948373","-52994","-5.59","291000","3.08",
"2024-09-30","Brighthouse Financial, Inc. Co","BHF","NNM","948373","1187224","-238851","-20.12","354519","2.68",
"2024-09-13","Brighthouse Financial, Inc. Co","BHF","NNM","1187224","1105839","81385","7.36","356058","3.33",
"2024-08-30","Brighthouse Financial, Inc. Co","BHF","NNM","1105839","1201335","-95496","-7.95","311828","3.55",
"2024-08-15","Brighthouse Financial, Inc. Co","BHF","NNM","1201335","1087855","113480","10.43","513307","2.34",
"2024-07-31","Brighthouse Financial, Inc. Co","BHF","NNM","1087855","1010209","77646","7.69","409330","2.66",
"2024-07-15","Brighthouse Financial, Inc. Co","BHF","NNM","1010209","1315616","-305407","-23.21","429552","2.35",
"2024-06-28","Brighthouse Financial, Inc. Co","BHF","NNM","1315616","1337763","-22147","-1.66","477230","2.76",
"2024-06-14","Brighthouse Financial, Inc. Co","BHF","NNM","1337763","1477659","-139896","-9.47","367594","3.64",
"2024-05-31","Brighthouse Financial, Inc. Co","BHF","NNM","1477659","1118753","358906","32.08","390402","3.78",
"2024-05-15","Brighthouse Financial, Inc. Co","BHF","NNM","1118753","1206827","-88074","-7.3","700013","1.6",
"2024-04-30","Brighthouse Financial, Inc. Co","BHF","NNM","1206827","1142377","64450","5.64","478629","2.52",
"2024-04-15","Brighthouse Financial, Inc. Co","BHF","NNM","1142377","1307889","-165512","-12.65","345794","3.3",
"2024-03-28","Brighthouse Financial, Inc. Co","BHF","NNM","1307889","1274045","33844","2.66","400103","3.27",
"2024-03-15","Brighthouse Financial, Inc. Co","BHF","NNM","1274045","1116397","157648","14.12","442768","2.88",
"2024-02-29","Brighthouse Financial, Inc. Co","BHF","NNM","1116397","1098927","17470","1.59","423089","2.64",
"2024-02-15","Brighthouse Financial, Inc. Co","BHF","NNM","1098927","943206","155721","16.51","574852","1.91",
"2024-01-31","Brighthouse Financial, Inc. Co","BHF","NNM","943206","808880","134326","16.61","361733","2.61",
"2024-01-12","Brighthouse Financial, Inc. Co","BHF","NNM","808880","761790","47090","6.18","376988","2.15",
"2023-12-29","Brighthouse Financial, Inc. Co","BHF","NNM","761790","1173766","-411976","-35.1","278875","2.73",
"2023-12-15","Brighthouse Financial, Inc. Co","BHF","NNM","1173766","1081563","92203","8.52","382642","3.07",
"2023-11-30","Brighthouse Financial, Inc. Co","BHF","NNM","1081563","1025056","56507","5.51","311628","3.47",
"2023-11-15","Brighthouse Financial, Inc. Co","BHF","NNM","1025056","1256377","-231321","-18.41","372114","2.75","R"
"2023-10-31","Brighthouse Financial, Inc. Co","BHF","NNM","1279203","1709533","-430330","-25.17","335492","3.81",
"2023-10-13","Brighthouse Financial, Inc. Co","BHF","NNM","1709533","1179526","530007","44.93","383396","4.46",
"2023-09-29","Brighthouse Financial, Inc. Co","BHF","NNM","1179526","1989014","-809488","-40.7","477381","2.47",
"2023-09-15","Brighthouse Financial, Inc. Co","BHF","NNM","1989014","1293673","695341","53.75","485550","4.1",
"2023-08-31","Brighthouse Financial, Inc. Co","BHF","NNM","1293673","1438608","-144935","-10.07","271396","4.77",
"2023-08-15","Brighthouse Financial, Inc. Co","BHF","NNM","1438608","1476366","-37758","-2.56","414275","3.47",
"2023-07-31","Brighthouse Financial, Inc. Co","BHF","NNM","1476366","1683550","-207184","-12.31","318103","4.64",
"2023-07-14","Brighthouse Financial, Inc. Co","BHF","NNM","1683550","1509348","174202","11.54","401155","4.2",
"2023-06-30","Brighthouse Financial, Inc. Co","BHF","NNM","1509348","1453704","55644","3.83","591209","2.55",
"2023-06-15","Brighthouse Financial, Inc. Co","BHF","NNM","1453704","1589277","-135573","-8.53","486497","2.99",
"2023-05-31","Brighthouse Financial, Inc. Co","BHF","NNM","1589277","1373237","216040","15.73","481634","3.3",
"2023-05-15","Brighthouse Financial, Inc. Co","BHF","NNM","1373237","1153713","219524","19.03","615747","2.23",
"2023-04-28","Brighthouse Financial, Inc. Co","BHF","NNM","1153713","1369361","-215648","-15.75","444201","2.6",
"2023-04-14","Brighthouse Financial, Inc. Co","BHF","NNM","1369361","1669014","-299653","-17.95","639615","2.14",
"2023-03-31","Brighthouse Financial, Inc. Co","BHF","NNM","1669014","1510375","158639","10.5","812821","2.05",
"2023-03-15","Brighthouse Financial, Inc. Co","BHF","NNM","1510375","1450135","60240","4.15","609838","2.48",
"2023-02-28","Brighthouse Financial, Inc. Co","BHF","NNM","1450135","1455393","-5258","-0.36","338444","4.28",
"2023-02-15","Brighthouse Financial, Inc. Co","BHF","NNM","1455393","1585610","-130217","-8.21","503840","2.89",
"2023-01-31","Brighthouse Financial, Inc. Co","BHF","NNM","1585610","1844242","-258632","-14.02","328583","4.83",
"2023-01-13","Brighthouse Financial, Inc. Co","BHF","NNM","1844242","1807073","37169","2.06","372926","4.95",
"2022-12-30","Brighthouse Financial, Inc. Co","BHF","NNM","1807073","2476578","-669505","-27.03","468765","3.85",
"2022-12-15","Brighthouse Financial, Inc. Co","BHF","NNM","2476578","2856963","-380385","-13.31","418956","5.91",
