"Settlement Date","Issue Name","Symbol","Market","Current Short","Previous Short","Chg","% Change from Previous","Avg Daily Vol","Days to Cover","Revision Flag"
"2025-09-15","Maplebear Inc. Common Stock","CART","NNM","13871134","15424015","-1552881","-10.07","4199892","3.3",
"2025-08-29","Maplebear Inc. Common Stock","CART","NNM","15424015","12440899","2983116","23.98","4498211","3.43","R"
"2025-08-15","Maplebear Inc. Common Stock","CART","NNM","12439235","14416233","-1976998","-13.71","6729964","1.85",
"2025-07-31","Maplebear Inc. Common Stock","CART","NNM","14416233","16547495","-2131262","-12.88","3337904","4.32",
"2025-07-15","Maplebear Inc. Common Stock","CART","NNM","16547495","15861251","686244","4.33","3223644","5.13",
"2025-06-30","Maplebear Inc. Common Stock","CART","NNM","15861251","13892595","1968656","14.17","3964793","4",
"2025-06-13","Maplebear Inc. Common Stock","CART","NNM","13892595","14162862","-270267","-1.91","3395104","4.09",
"2025-05-30","Maplebear Inc. Common Stock","CART","NNM","14162862","14298435","-135573","-0.95","3298049","4.29",
"2025-05-15","Maplebear Inc. Common Stock","CART","NNM","14298435","12327283","1971152","15.99","5830035","2.45",
"2025-04-30","Maplebear Inc. Common Stock","CART","NNM","12327283","13265094","-937811","-7.07","3719577","3.31",
"2025-04-15","Maplebear Inc. Common Stock","CART","NNM","13265094","12881605","383489","2.98","4208781","3.15",
"2025-03-31","Maplebear Inc. Common Stock","CART","NNM","12881605","16064080","-3182475","-19.81","4136238","3.11",
"2025-03-14","Maplebear Inc. Common Stock","CART","NNM","16064080","16196824","-132744","-0.82","4751342","3.38",
"2025-02-28","Maplebear Inc. Common Stock","CART","NNM","16196824","17396920","-1200096","-6.9","6205946","2.61",
"2025-02-14","Maplebear Inc. Common Stock","CART","NNM","17396920","17112831","284089","1.66","2495512","6.97",
"2025-01-31","Maplebear Inc. Common Stock","CART","NNM","17112831","17868551","-755720","-4.23","2902428","5.9",
"2025-01-15","Maplebear Inc. Common Stock","CART","NNM","17868551","11260443","6608108","58.68","6786155","2.63",
"2024-12-31","Maplebear Inc. Common Stock","CART","NNM","11260443","13188085","-1927642","-14.62","2956891","3.81",
