"Settlement Date","Issue Name","Symbol","Market","Current Short","Previous Short","Chg","% Change from Previous","Avg Daily Vol","Days to Cover","Revision Flag"
"2025-09-15","FUTURETECH II ACQUISITION CORP","FTII","OTC","2544","10303","-7759","-75.31","40","63.6",
"2025-08-29","FUTURETECH II ACQUISITION CORP","FTII","OTC","10303","10304","-1","-0.01","250","41.21",
"2025-08-15","FUTURETECH II ACQUISITION CORP","FTII","OTC","10304","10303","1","0.01","3257","3.16",
"2025-07-31","FUTURETECH II ACQUISITION CORP","FTII","OTC","10303","10306","-3","-0.03","2782","3.7",
"2025-07-15","FUTURETECH II ACQUISITION CORP","FTII","OTC","10306","10306","0","0","40","257.65",
"2025-06-30","FUTURETECH II ACQUISITION CORP","FTII","OTC","10306","10306","0","0","0","999.99",
"2025-06-13","FUTURETECH II ACQUISITION CORP","FTII","OTC","10306","10306","0","0","0","999.99",
"2025-05-30","FUTURETECH II ACQUISITION CORP","FTII","OTC","10306","10306","0","0","0","999.99",
"2025-05-15","FUTURETECH II ACQUISITION CORP","FTII","OTC","10306","10308","-2","-0.02","246","41.89",
"2025-04-30","FUTURETECH II ACQUISITION CORP","FTII","OTC","10308","10308","0","0","0","999.99",
"2025-04-15","FUTURETECH II ACQUISITION CORP","FTII","OTC","10308","10308","0","0","1","999.99",
"2025-03-31","FUTURETECH II ACQUISITION CORP","FTII","OTC","10308","12","10296","85800","348","29.62",
"2025-03-14","FUTURETECH II ACQUISITION CORP","FTII","OTC","12","7","5","71.43","1052","1",
"2025-02-28","FUTURETECH II ACQUISITION CORP","FTII","OTC","7","24","-17","-70.83","1920","1",
"2025-02-14","FutureTech II Acquisition Corp","FTII","SC","24","129","-105","-81.4","1086","1",
"2025-01-31","FutureTech II Acquisition Corp","FTII","SC","129","1219","-1090","-89.42","9523","1",
"2025-01-15","FutureTech II Acquisition Corp","FTII","SC","1219","1420","-201","-14.15","355","3.43",
"2024-12-31","FutureTech II Acquisition Corp","FTII","SC","1420","1630","-210","-12.88","777","1.83",
"2024-12-13","FutureTech II Acquisition Corp","FTII","SC","1630","1358","272","20.03","6227","1",
"2024-11-29","FutureTech II Acquisition Corp","FTII","NNM","1358","3","1355","45166.67","6550","1",
"2024-11-15","FutureTech II Acquisition Corp","FTII","NNM","3","4626","-4623","-99.94","29593","1",
"2024-10-31","FutureTech II Acquisition Corp","FTII","NNM","4626","5389","-763","-14.16","14586","1",
"2024-10-15","FutureTech II Acquisition Corp","FTII","NNM","5389","5930","-541","-9.12","90","59.88",
