"Settlement Date","Issue Name","Symbol","Market","Current Short","Previous Short","Chg","% Change from Previous","Avg Daily Vol","Days to Cover","Revision Flag"
"2025-09-15","Ispire Technology Inc. Common","ISPR","SC","695224","640015","55209","8.63","37194","18.69",
"2025-08-29","Ispire Technology Inc. Common","ISPR","SC","640015","647865","-7850","-1.21","62671","10.21",
"2025-08-15","Ispire Technology Inc. Common","ISPR","SC","647865","647190","675","0.1","33169","19.53",
"2025-07-31","Ispire Technology Inc. Common","ISPR","SC","647190","729612","-82422","-11.3","33685","19.21",
"2025-07-15","Ispire Technology Inc. Common","ISPR","SC","729612","738970","-9358","-1.27","88429","8.25",
"2025-06-30","Ispire Technology Inc. Common","ISPR","SC","738970","602849","136121","22.58","109395","6.76",
"2025-06-13","Ispire Technology Inc. Common","ISPR","SC","602849","569212","33637","5.91","44326","13.6",
"2025-05-30","Ispire Technology Inc. Common","ISPR","SC","569212","600865","-31653","-5.27","54807","10.39",
"2025-05-15","Ispire Technology Inc. Common","ISPR","SC","600865","657104","-56239","-8.56","49249","12.2",
"2025-04-30","Ispire Technology Inc. Common","ISPR","SC","657104","589605","67499","11.45","31074","21.15",
"2025-04-15","Ispire Technology Inc. Common","ISPR","SC","589605","798349","-208744","-26.15","83732","7.04",
"2025-03-31","Ispire Technology Inc. Common","ISPR","SC","798349","873637","-75288","-8.62","66112","12.08",
"2025-03-14","Ispire Technology Inc. Common","ISPR","SC","873637","809394","64243","7.94","40654","21.49",
"2025-02-28","Ispire Technology Inc. Common","ISPR","SC","809394","895374","-85980","-9.6","38558","20.99",
"2025-02-14","Ispire Technology Inc. Common","ISPR","SC","895374","876128","19246","2.2","47584","18.82",
"2025-01-31","Ispire Technology Inc. Common","ISPR","SC","876128","860848","15280","1.77","48540","18.05",
"2025-01-15","Ispire Technology Inc. Common","ISPR","SC","860848","744664","116184","15.6","61043","14.1",
"2024-12-31","Ispire Technology Inc. Common","ISPR","SC","744664","678809","65855","9.7","80878","9.21",
"2024-12-13","Ispire Technology Inc. Common","ISPR","SC","678809","702353","-23544","-3.35","82766","8.2",
"2024-11-29","Ispire Technology Inc. Common","ISPR","SC","702353","671504","30849","4.59","56871","12.35",
"2024-11-15","Ispire Technology Inc. Common","ISPR","SC","671504","689802","-18298","-2.65","138732","4.84",
"2024-10-31","Ispire Technology Inc. Common","ISPR","SC","689802","848970","-159168","-18.75","95732","7.21",
"2024-10-15","Ispire Technology Inc. Common","ISPR","SC","848970","988669","-139699","-14.13","63622","13.34",
"2024-09-30","Ispire Technology Inc. Common","ISPR","SC","988669","438057","550612","125.69","270576","3.65",
"2024-09-13","Ispire Technology Inc. Common","ISPR","SC","438057","412936","25121","6.08","70305","6.23",
"2024-08-30","Ispire Technology Inc. Common","ISPR","SC","412936","512554","-99618","-19.44","34485","11.97",
"2024-08-15","Ispire Technology Inc. Common","ISPR","SC","512554","303745","208809","68.74","56750","9.03",
"2024-07-31","Ispire Technology Inc. Common","ISPR","SC","303745","422823","-119078","-28.16","66443","4.57",
"2024-07-15","Ispire Technology Inc. Common","ISPR","SC","422823","317466","105357","33.19","47493","8.9",
"2024-06-28","Ispire Technology Inc. Common","ISPR","SC","317466","248530","68936","27.74","102498","3.1",
"2024-06-14","Ispire Technology Inc. Common","ISPR","SC","248530","233594","14936","6.39","45432","5.47",
"2024-05-31","Ispire Technology Inc. Common","ISPR","SC","233594","375455","-141861","-37.78","93343","2.5",
"2024-05-15","Ispire Technology Inc. Common","ISPR","SC","375455","401732","-26277","-6.54","54670","6.87",
"2024-04-30","Ispire Technology Inc. Common","ISPR","SC","401732","431317","-29585","-6.86","48996","8.2",
"2024-04-15","Ispire Technology Inc. Common","ISPR","SC","431317","440915","-9598","-2.18","61578","7",
"2024-03-28","Ispire Technology Inc. Common","ISPR","SC","440915","1037182","-596267","-57.49","296472","1.49",
"2024-03-15","Ispire Technology Inc. Common","ISPR","SC","1037182","1161671","-124489","-10.72","62083","16.71",
"2024-02-29","Ispire Technology Inc. Common","ISPR","SC","1161671","1263659","-101988","-8.07","75920","15.3",
"2024-02-15","Ispire Technology Inc. Common","ISPR","SC","1263659","1102675","160984","14.6","163283","7.74",
"2024-01-31","Ispire Technology Inc. Common","ISPR","SC","1102675","1010482","92193","9.12","67235","16.4",
"2024-01-12","Ispire Technology Inc. Common","ISPR","SC","1010482","1072279","-61797","-5.76","93092","10.85",
"2023-12-29","Ispire Technology Inc. Common","ISPR","SC","1072279","970961","101318","10.43","229342","4.68",
"2023-12-15","Ispire Technology Inc. Common","ISPR","SC","970961","897025","73936","8.24","266831","3.64",
"2023-11-30","Ispire Technology Inc. Common","ISPR","SC","897025","883433","13592","1.54","138157","6.49",
"2023-11-15","Ispire Technology Inc. Common","ISPR","SC","883433","298464","584969","195.99","188449","4.69",
"2023-10-31","Ispire Technology Inc. Common","ISPR","SC","298464","153232","145232","94.78","86983","3.43",
"2023-10-13","Ispire Technology Inc. Common","ISPR","SC","153232","100243","52989","52.86","24509","6.25",
