"Settlement Date","Issue Name","Symbol","Market","Current Short","Previous Short","Chg","% Change from Previous","Avg Daily Vol","Days to Cover","Revision Flag"
"2025-09-15","Kinder Morgan, Inc.","KMI","NYSE","36981496","37333362","-351866","-0.94","11286412","3.28",
"2025-08-29","Kinder Morgan, Inc.","KMI","NYSE","37333362","35535055","1798307","5.06","12870578","2.9",
"2025-08-15","Kinder Morgan, Inc.","KMI","NYSE","35535055","39450255","-3915200","-9.92","17556340","2.02",
"2025-07-31","Kinder Morgan, Inc.","KMI","NYSE","39450255","37364365","2085890","5.58","17604479","2.24",
"2025-07-15","Kinder Morgan, Inc.","KMI","NYSE","37364365","39651922","-2287557","-5.77","13021134","2.87",
"2025-06-30","Kinder Morgan, Inc.","KMI","NYSE","39651922","39776089","-124167","-0.31","13579757","2.92",
"2025-06-13","Kinder Morgan, Inc.","KMI","NYSE","39776089","40414615","-638526","-1.58","12529523","3.17",
"2025-05-30","Kinder Morgan, Inc.","KMI","NYSE","40414615","42426799","-2012184","-4.74","11779995","3.43",
"2025-05-15","Kinder Morgan, Inc.","KMI","NYSE","42426799","37888695","4538104","11.98","13438738","3.16",
"2025-04-30","Kinder Morgan, Inc.","KMI","NYSE","37888695","33673556","4215139","12.52","14992404","2.53",
"2025-04-15","Kinder Morgan, Inc.","KMI","NYSE","33673556","30980114","2693442","8.69","17025198","1.98",
"2025-03-31","Kinder Morgan, Inc.","KMI","NYSE","30980114","33914082","-2933968","-8.65","11710139","2.65",
"2025-03-14","Kinder Morgan, Inc.","KMI","NYSE","33914082","38967808","-5053726","-12.97","13008791","2.61",
"2025-02-28","Kinder Morgan, Inc.","KMI","NYSE","38967808","37203283","1764525","4.74","14799218","2.63",
"2025-02-14","Kinder Morgan, Inc.","KMI","NYSE","37203283","46883386","-9680103","-20.65","14172957","2.62",
"2025-01-31","Kinder Morgan, Inc.","KMI","NYSE","46883386","45591007","1292379","2.83","20869516","2.25",
"2025-01-15","Kinder Morgan, Inc.","KMI","NYSE","45591007","42759381","2831626","6.62","12186794","3.74",
"2024-12-31","Kinder Morgan, Inc.","KMI","NYSE","42759381","44901788","-2142407","-4.77","12157645","3.52",
