"Settlement Date","Issue Name","Symbol","Market","Current Short","Previous Short","Chg","% Change from Previous","Avg Daily Vol","Days to Cover","Revision Flag"
"2025-09-15","Mohawk Industries, Inc.","MHK","NYSE","2445253","2428410","16843","0.69","667299","3.66",
"2025-08-29","Mohawk Industries, Inc.","MHK","NYSE","2428410","2412970","15440","0.64","752911","3.23",
"2025-08-15","Mohawk Industries, Inc.","MHK","NYSE","2412970","2505343","-92373","-3.69","857881","2.81",
"2025-07-31","Mohawk Industries, Inc.","MHK","NYSE","2505343","1860662","644681","34.65","1037569","2.41",
"2025-07-15","Mohawk Industries, Inc.","MHK","NYSE","1860662","1955125","-94463","-4.83","772000","2.41",
"2025-06-30","Mohawk Industries, Inc.","MHK","NYSE","1955125","2000662","-45537","-2.28","912486","2.14",
"2025-06-13","Mohawk Industries, Inc.","MHK","NYSE","2000662","1637544","363118","22.17","770499","2.6",
"2025-05-30","Mohawk Industries, Inc.","MHK","NYSE","1637544","1744573","-107029","-6.13","578015","2.83",
"2025-05-15","Mohawk Industries, Inc.","MHK","NYSE","1744573","1847038","-102465","-5.55","931445","1.87",
"2025-04-30","Mohawk Industries, Inc.","MHK","NYSE","1847038","2122066","-275028","-12.96","672380","2.75",
"2025-04-15","Mohawk Industries, Inc.","MHK","NYSE","2122066","1471820","650246","44.18","939659","2.26",
"2025-03-31","Mohawk Industries, Inc.","MHK","NYSE","1471820","1582031","-110211","-6.97","770163","1.91",
"2025-03-14","Mohawk Industries, Inc.","MHK","NYSE","1582031","1331378","250653","18.83","779378","2.03",
"2025-02-28","Mohawk Industries, Inc.","MHK","NYSE","1331378","1175541","155837","13.26","614284","2.17",
"2025-02-14","Mohawk Industries, Inc.","MHK","NYSE","1175541","1652769","-477228","-28.87","992883","1.18",
"2025-01-31","Mohawk Industries, Inc.","MHK","NYSE","1652769","1209787","442982","36.62","792930","2.08",
"2025-01-15","Mohawk Industries, Inc.","MHK","NYSE","1209787","959443","250344","26.09","699991","1.73",
"2024-12-31","Mohawk Industries, Inc.","MHK","NYSE","959443","1015244","-55801","-5.5","596321","1.61",
"2024-12-13","Mohawk Industries, Inc.","MHK","NYSE","1015244","888628","126616","14.25","800759","1.27",
"2024-11-29","Mohawk Industries, Inc.","MHK","NYSE","888628","857067","31561","3.68","502286","1.77",
"2024-11-15","Mohawk Industries, Inc.","MHK","NYSE","857067","769034","88033","11.45","835498","1.03",
"2024-10-31","Mohawk Industries, Inc.","MHK","NYSE","769034","911848","-142814","-15.66","1063622","1",
"2024-10-15","Mohawk Industries, Inc.","MHK","NYSE","911848","811266","100582","12.4","569843","1.6",
"2024-09-30","Mohawk Industries, Inc.","MHK","NYSE","811266","1233001","-421735","-34.2","710439","1.14",
"2024-09-13","Mohawk Industries, Inc.","MHK","NYSE","1233001","1272980","-39979","-3.14","575869","2.14",
"2024-08-30","Mohawk Industries, Inc.","MHK","NYSE","1272980","1572532","-299552","-19.05","477750","2.66",
"2024-08-15","Mohawk Industries, Inc.","MHK","NYSE","1572532","1773056","-200524","-11.31","708162","2.22",
"2024-07-31","Mohawk Industries, Inc.","MHK","NYSE","1773056","2306421","-533365","-23.13","1159081","1.53",
"2024-07-15","Mohawk Industries, Inc.","MHK","NYSE","2306421","2152623","153798","7.14","750848","3.07",
"2024-06-28","Mohawk Industries, Inc.","MHK","NYSE","2152623","1898827","253796","13.37","804652","2.68",
"2024-06-14","Mohawk Industries, Inc.","MHK","NYSE","1898827","1750477","148350","8.47","639463","2.97",
"2024-05-31","Mohawk Industries, Inc.","MHK","NYSE","1750477","1535468","215009","14","550522","3.18",
"2024-05-15","Mohawk Industries, Inc.","MHK","NYSE","1535468","1710200","-174732","-10.22","549046","2.8",
"2024-04-30","Mohawk Industries, Inc.","MHK","NYSE","1710200","1872621","-162421","-8.67","670315","2.55",
"2024-04-15","Mohawk Industries, Inc.","MHK","NYSE","1872621","1874633","-2012","-0.11","638847","2.93",
