"Settlement Date","Issue Name","Symbol","Market","Current Short","Previous Short","Chg","% Change from Previous","Avg Daily Vol","Days to Cover","Revision Flag"
"2025-09-15","Oramed Pharmaceuticals Inc. Co","ORMP","SC","223986","348142","-124156","-35.66","110956","2.02",
"2025-08-29","Oramed Pharmaceuticals Inc. Co","ORMP","SC","348142","364449","-16307","-4.47","83787","4.16",
"2025-08-15","Oramed Pharmaceuticals Inc. Co","ORMP","SC","364449","403823","-39374","-9.75","63586","5.73",
"2025-07-31","Oramed Pharmaceuticals Inc. Co","ORMP","SC","403823","404343","-520","-0.13","77124","5.24",
"2025-07-15","Oramed Pharmaceuticals Inc. Co","ORMP","SC","404343","418681","-14338","-3.42","58913","6.86",
"2025-06-30","Oramed Pharmaceuticals Inc. Co","ORMP","SC","418681","475250","-56569","-11.9","72388","5.78",
"2025-06-13","Oramed Pharmaceuticals Inc. Co","ORMP","SC","475250","489422","-14172","-2.9","90950","5.23",
"2025-05-30","Oramed Pharmaceuticals Inc. Co","ORMP","SC","489422","591029","-101607","-17.19","84976","5.76",
"2025-05-15","Oramed Pharmaceuticals Inc. Co","ORMP","SC","591029","655121","-64092","-9.78","46043","12.84",
"2025-04-30","Oramed Pharmaceuticals Inc. Co","ORMP","SC","655121","708793","-53672","-7.57","47941","13.67",
"2025-04-15","Oramed Pharmaceuticals Inc. Co","ORMP","SC","708793","650802","57991","8.91","99254","7.14",
"2025-03-31","Oramed Pharmaceuticals Inc. Co","ORMP","SC","650802","664591","-13789","-2.07","43772","14.87",
"2025-03-14","Oramed Pharmaceuticals Inc. Co","ORMP","SC","664591","616037","48554","7.88","206318","3.22",
"2025-02-28","Oramed Pharmaceuticals Inc. Co","ORMP","SC","616037","576379","39658","6.88","195946","3.14",
"2025-02-14","Oramed Pharmaceuticals Inc. Co","ORMP","SC","576379","231471","344908","149.01","855530","1",
"2025-01-31","Oramed Pharmaceuticals Inc. Co","ORMP","SC","231471","248149","-16678","-6.72","120585","1.92",
"2025-01-15","Oramed Pharmaceuticals Inc. Co","ORMP","SC","248149","242280","5869","2.42","99578","2.49",
"2024-12-31","Oramed Pharmaceuticals Inc. Co","ORMP","SC","242280","291357","-49077","-16.84","207939","1.17",
