"Settlement Date","Issue Name","Symbol","Market","Current Short","Previous Short","Chg","% Change from Previous","Avg Daily Vol","Days to Cover","Revision Flag"
"2025-09-15","Palantir Technologies Inc. Cla","PLTR","NNM","54581338","49337540","5243798","10.63","57758364","1",
"2025-08-29","Palantir Technologies Inc. Cla","PLTR","NNM","49337540","53973790","-4636250","-8.59","96678850","1",
"2025-08-15","Palantir Technologies Inc. Cla","PLTR","NNM","53973790","54757082","-783292","-1.43","70317015","1",
"2025-07-31","Palantir Technologies Inc. Cla","PLTR","NNM","54757082","53728604","1028478","1.91","49439624","1.11",
"2025-07-15","Palantir Technologies Inc. Cla","PLTR","NNM","53728604","51517225","2211379","4.29","65007702","1",
"2025-06-30","Palantir Technologies Inc. Cla","PLTR","NNM","51517225","53178660","-1661435","-3.12","85197319","1",
"2025-06-13","Palantir Technologies Inc. Cla","PLTR","NNM","53178660","44644575","8534085","19.12","89202135","1",
"2025-05-30","Palantir Technologies Inc. Cla","PLTR","NNM","44644575","55835273","-11190698","-20.04","80966496","1",
"2025-05-15","Palantir Technologies Inc. Cla","PLTR","NNM","55835273","54976827","858446","1.56","112456562","1",
"2025-04-30","Palantir Technologies Inc. Cla","PLTR","NNM","54976827","50816172","4160655","8.19","99813491","1",
"2025-04-15","Palantir Technologies Inc. Cla","PLTR","NNM","50816172","52258056","-1441884","-2.76","124066270","1",
"2025-03-31","Palantir Technologies Inc. Cla","PLTR","NNM","52258056","60161697","-7903641","-13.14","95991613","1",
"2025-03-14","Palantir Technologies Inc. Cla","PLTR","NNM","60161697","61179750","-1018053","-1.66","114320158","1",
"2025-02-28","Palantir Technologies Inc. Cla","PLTR","NNM","61179750","79980715","-18800965","-23.51","137244683","1",
"2025-02-14","Palantir Technologies Inc. Cla","PLTR","NNM","79980715","70624230","9356485","13.25","110926482","1",
"2025-01-31","Palantir Technologies Inc. Cla","PLTR","NNM","70624230","83787223","-13162993","-15.71","62572450","1.13",
"2025-01-15","Palantir Technologies Inc. Cla","PLTR","NNM","83787223","98489947","-14702724","-14.93","75608896","1.11",
"2024-12-31","Palantir Technologies Inc. Cla","PLTR","NNM","98489947","77284537","21205410","27.44","99068021","1",
"2024-12-13","Palantir Technologies Inc. Cla","PLTR","NNM","77284537","76144399","1140138","1.5","88657348","1",
"2024-11-29","Palantir Technologies Inc. Cla","PLTR","NNM","76144399","85397297","-9252898","-10.84","66806155","1.14",
"2024-11-15","Palantir Technologies Inc. Cla","PLTR","NYSE","85397297","85457185","-59888","-0.07","100598207","1",
"2024-10-31","Palantir Technologies Inc. Cla","PLTR","NYSE","85457185","95592527","-10135342","-10.6","37584660","2.27",
"2024-10-15","Palantir Technologies Inc. Cla","PLTR","NYSE","95592527","97631384","-2038857","-2.09","56254948","1.7",
"2024-09-30","Palantir Technologies Inc. Cla","PLTR","NYSE","97631384","67110092","30521292","45.48","95928891","1.02",
"2024-09-13","Palantir Technologies Inc. Cla","PLTR","NYSE","67110092","54064393","13045699","24.13","60848327","1.1",
"2024-08-30","Palantir Technologies Inc. Cla","PLTR","NYSE","54064393","60156736","-6092343","-10.13","40791410","1.33",
"2024-08-15","Palantir Technologies Inc. Cla","PLTR","NYSE","60156736","63446106","-3289370","-5.18","68582321","1",
"2024-07-31","Palantir Technologies Inc. Cla","PLTR","NYSE","63446106","81122898","-17676792","-21.79","42387892","1.5",
"2024-07-15","Palantir Technologies Inc. Cla","PLTR","NYSE","81122898","79876062","1246836","1.56","42801512","1.9",
"2024-06-28","Palantir Technologies Inc. Cla","PLTR","NYSE","79876062","71534078","8341984","11.66","45834661","1.74",
"2024-06-14","Palantir Technologies Inc. Cla","PLTR","NYSE","71534078","75097598","-3563520","-4.75","36653294","1.95",
"2024-05-31","Palantir Technologies Inc. Cla","PLTR","NYSE","75097598","77780738","-2683140","-3.45","31638599","2.37",
"2024-05-15","Palantir Technologies Inc. Cla","PLTR","NYSE","77780738","78695395","-914657","-1.16","70414273","1.1",
"2024-04-30","Palantir Technologies Inc. Cla","PLTR","NYSE","78695395","77915836","779559","1","32818801","2.4",
"2024-04-15","Palantir Technologies Inc. Cla","PLTR","NYSE","77915836","82366928","-4451092","-5.4","36143292","2.16",
"2024-03-28","Palantir Technologies Inc. Cla","PLTR","NYSE","82366928","82722421","-355493","-0.43","41292369","1.99",
"2024-03-15","Palantir Technologies Inc. Cla","PLTR","NYSE","82722421","97083544","-14361123","-14.79","81290887","1.02",
"2024-02-29","Palantir Technologies Inc. Cla","PLTR","NYSE","97083544","102416387","-5332843","-5.21","61568581","1.58",
"2024-02-15","Palantir Technologies Inc. Cla","PLTR","NYSE","102416387","114722733","-12306346","-10.73","152907245","1",
"2024-01-31","Palantir Technologies Inc. Cla","PLTR","NYSE","114722733","102523755","12198978","11.9","41221751","2.78",
"2024-01-12","Palantir Technologies Inc. Cla","PLTR","NYSE","102523755","101393634","1130121","1.11","42863704","2.39",
"2023-12-29","Palantir Technologies Inc. Cla","PLTR","NYSE","101393634","108575167","-7181533","-6.61","41019478","2.47",
"2023-12-15","Palantir Technologies Inc. Cla","PLTR","NYSE","108575167","121147902","-12572735","-10.38","67420470","1.61",
"2023-11-30","Palantir Technologies Inc. Cla","PLTR","NYSE","121147902","146736470","-25588568","-17.44","65634516","1.85",
"2023-11-15","Palantir Technologies Inc. Cla","PLTR","NYSE","146736470","155102347","-8365877","-5.39","81044004","1.81","R"
"2023-10-31","Palantir Technologies Inc. Cla","PLTR","NYSE","155672416","159039676","-3367260","-2.12","47719175","3.26",
"2023-10-13","Palantir Technologies Inc. Cla","PLTR","NYSE","159039676","167494036","-8454360","-5.05","63570387","2.5",
"2023-09-29","Palantir Technologies Inc. Cla","PLTR","NYSE","167494036","154030736","13463300","8.74","51803232","3.23",
"2023-09-15","Palantir Technologies Inc. Cla","PLTR","NYSE","154030736","155590455","-1559719","-1","42765247","3.6",
"2023-08-31","Palantir Technologies Inc. Cla","PLTR","NYSE","155590455","135771339","19819116","14.6","62513081","2.49","R"
"2023-08-15","Palantir Technologies Inc. Cla","PLTR","NYSE","135778479","119438357","16340122","13.68","86382480","1.57",
"2023-07-31","Palantir Technologies Inc. Cla","PLTR","NYSE","119438357","124356873","-4918516","-3.96","70321699","1.7",
"2023-07-14","Palantir Technologies Inc. Cla","PLTR","NYSE","124356873","132542851","-8185978","-6.18","50033482","2.49",
"2023-06-30","Palantir Technologies Inc. Cla","PLTR","NYSE","132542851","138141520","-5598669","-4.05","70881592","1.87",
"2023-06-15","Palantir Technologies Inc. Cla","PLTR","NYSE","138141520","148364266","-10222746","-6.89","108259634","1.28",
"2023-05-31","Palantir Technologies Inc. Cla","PLTR","NYSE","148364266","158428442","-10064176","-6.35","115200332","1.29","R"
"2023-05-15","Palantir Technologies Inc. Cla","PLTR","NYSE","158428302","123515705","34912597","28.27","74998953","2.11",
"2023-04-28","Palantir Technologies Inc. Cla","PLTR","NYSE","123515705","130068122","-6552417","-5.04","21388222","5.77",
"2023-04-14","Palantir Technologies Inc. Cla","PLTR","NYSE","130068122","133281473","-3213351","-2.41","32092252","4.05",
"2023-03-31","Palantir Technologies Inc. Cla","PLTR","NYSE","133281473","139137397","-5855924","-4.21","22235297","5.99",
"2023-03-15","Palantir Technologies Inc. Cla","PLTR","NYSE","139137397","157348302","-18210905","-11.57","36150376","3.85",
"2023-02-28","Palantir Technologies Inc. Cla","PLTR","NYSE","157348302","128778957","28569345","22.18","55136296","2.85",
"2023-02-15","Palantir Technologies Inc. Cla","PLTR","NYSE","128778957","115710499","13068458","11.29","76029776","1.69",
"2023-01-31","Palantir Technologies Inc. Cla","PLTR","NYSE","115710499","121345469","-5634970","-4.64","31253680","3.7",
"2023-01-13","Palantir Technologies Inc. Cla","PLTR","NYSE","121345469","124061325","-2715856","-2.19","29194274","4.16",
"2022-12-30","Palantir Technologies Inc. Cla","PLTR","NYSE","124061325","122900553","1160772","0.94","32247152","3.85",
"2022-12-15","Palantir Technologies Inc. Cla","PLTR","NYSE","122900553","127461104","-4560551","-3.58","27713490","4.43",
