"Settlement Date","Issue Name","Symbol","Market","Current Short","Previous Short","Chg","% Change from Previous","Avg Daily Vol","Days to Cover","Revision Flag"
"2025-09-15","Quantum Computing Inc. Common","QUBT","SC","27366154","26185107","1181047","4.51","17100255","1.6",
"2025-08-29","Quantum Computing Inc. Common","QUBT","SC","26185107","30849498","-4664391","-15.12","14687320","1.78",
"2025-08-15","Quantum Computing Inc. Common","QUBT","SC","30849498","27331384","3518114","12.87","16360969","1.89",
"2025-07-31","Quantum Computing Inc. Common","QUBT","SC","27331384","30381049","-3049665","-10.04","17016691","1.61",
"2025-07-15","Quantum Computing Inc. Common","QUBT","SC","30381049","34568094","-4187045","-12.11","20526673","1.48",
"2025-06-30","Quantum Computing Inc. Common","QUBT","SC","34568094","27453165","7114929","25.92","35891435","1",
"2025-06-13","Quantum Computing Inc. Common","QUBT","SC","27453165","27022375","430790","1.59","40435672","1",
"2025-05-30","Quantum Computing Inc. Common","QUBT","SC","27022375","26218341","804034","3.07","46513282","1",
"2025-05-15","Quantum Computing Inc. Common","QUBT","SC","26218341","21544099","4674242","21.7","14353177","1.83",
"2025-04-30","Quantum Computing Inc. Common","QUBT","SC","21544099","20767709","776390","3.74","7492430","2.88",
"2025-04-15","Quantum Computing Inc. Common","QUBT","SC","20767709","23623533","-2855824","-12.09","11726114","1.77",
"2025-03-31","Quantum Computing Inc. Common","QUBT","SC","23623533","21203474","2420059","11.41","34498131","1",
"2025-03-14","Quantum Computing Inc. Common","QUBT","SC","21203474","19506935","1696539","8.7","13524291","1.57",
"2025-02-28","Quantum Computing Inc. Common","QUBT","SC","19506935","20229298","-722363","-3.57","13071056","1.49",
"2025-02-14","Quantum Computing Inc. Common","QUBT","SC","20229298","25144039","-4914741","-19.55","15324043","1.32",
"2025-01-31","Quantum Computing Inc. Common","QUBT","SC","25144039","19373814","5770225","29.78","32178188","1",
"2025-01-15","Quantum Computing Inc. Common","QUBT","SC","19373814","16073325","3300489","20.53","46930029","1",
"2024-12-31","Quantum Computing Inc. Common","QUBT","SC","16073325","12991031","3082294","23.73","90450613","1",
"2024-12-13","Quantum Computing Inc. Common","QUBT","SC","12991031","14596001","-1604970","-11","23559136","1",
"2024-11-29","Quantum Computing Inc. Common","QUBT","SC","14596001","11913200","2682801","22.52","71090134","1",
"2024-11-15","Quantum Computing Inc. Common","QUBT","SC","11913200","4360791","7552409","173.19","37917527","1",
"2024-10-31","Quantum Computing Inc. Common","QUBT","SC","4360791","2960521","1400270","47.3","4195570","1.04",
"2024-10-15","Quantum Computing Inc. Common","QUBT","SC","2960521","2943922","16599","0.56","393018","7.53",
"2024-09-30","Quantum Computing Inc. Common","QUBT","SC","2943922","2072485","871437","42.05","443186","6.64",
"2024-09-13","Quantum Computing Inc. Common","QUBT","SC","2072485","2816576","-744091","-26.42","411985","5.03",
"2024-08-30","Quantum Computing Inc. Common","QUBT","SC","2816576","2675006","141570","5.29","409538","6.88",
