"Settlement Date","Issue Name","Symbol","Market","Current Short","Previous Short","Chg","% Change from Previous","Avg Daily Vol","Days to Cover","Revision Flag"
"2025-09-15","Cambria Tail Risk ETF","TAIL","BZX","219462","12785","206677","1616.56","205303","1.07",
"2025-08-29","Cambria Tail Risk ETF","TAIL","BZX","12785","29501","-16716","-56.66","174894","1",
"2025-08-15","Cambria Tail Risk ETF","TAIL","BZX","29501","39559","-10058","-25.43","111637","1",
"2025-07-31","Cambria Tail Risk ETF","TAIL","BZX","39559","36617","2942","8.03","187453","1",
"2025-07-15","Cambria Tail Risk ETF","TAIL","BZX","36617","33766","2851","8.44","142033","1",
"2025-06-30","Cambria Tail Risk ETF","TAIL","BZX","33766","11645","22121","189.96","214388","1",
"2025-06-13","Cambria Tail Risk ETF","TAIL","BZX","11645","16551","-4906","-29.64","144534","1",
"2025-05-30","Cambria Tail Risk ETF","TAIL","BZX","16551","23900","-7349","-30.75","376028","1",
"2025-05-15","Cambria Tail Risk ETF","TAIL","BZX","23900","89124","-65224","-73.18","619648","1",
"2025-04-30","Cambria Tail Risk ETF","TAIL","BZX","89124","10813","78311","724.23","920692","1",
"2025-04-15","Cambria Tail Risk ETF","TAIL","BZX","10813","32449","-21636","-66.68","706143","1",
"2025-03-31","Cambria Tail Risk ETF","TAIL","BZX","32449","47463","-15014","-31.63","92779","1",
"2025-03-14","Cambria Tail Risk ETF","TAIL","BZX","47463","9879","37584","380.44","240813","1",
"2025-02-28","Cambria Tail Risk ETF","TAIL","BZX","9879","3033","6846","225.72","63609","1",
"2025-02-14","Cambria Tail Risk ETF","TAIL","BZX","3033","4123","-1090","-26.44","21166","1",
"2025-01-31","Cambria Tail Risk ETF","TAIL","BZX","4123","33082","-28959","-87.54","33129","1",
"2025-01-15","Cambria Tail Risk ETF","TAIL","BZX","33082","32390","692","2.14","51466","1",
"2024-12-31","Cambria Tail Risk ETF","TAIL","BZX","32390","31027","1363","4.39","81097","1",
"2024-12-13","Cambria Tail Risk ETF","TAIL","BZX","31027","75854","-44827","-59.1","45995","1",
"2024-11-29","Cambria Tail Risk ETF","TAIL","BZX","75854","45175","30679","67.91","36019","2.11",
"2024-11-15","Cambria Tail Risk ETF","TAIL","BZX","45175","25140","20035","79.69","192061","1",
"2024-10-31","Cambria Tail Risk ETF","TAIL","BZX","25140","4801","20339","423.64","188168","1",
"2024-10-15","Cambria Tail Risk ETF","TAIL","BZX","4801","3303","1498","45.35","56840","1",
"2024-09-30","Cambria Tail Risk ETF","TAIL","BZX","3303","32588","-29285","-89.86","61924","1",
"2024-09-13","Cambria Tail Risk ETF","TAIL","BZX","32588","63030","-30442","-48.3","101413","1",
"2024-08-30","Cambria Tail Risk ETF","TAIL","BZX","63030","15146","47884","316.15","27355","2.3",
"2024-08-15","Cambria Tail Risk ETF","TAIL","BZX","15146","1484","13662","920.62","169694","1",
"2024-07-31","Cambria Tail Risk ETF","TAIL","BZX","1484","14058","-12574","-89.44","23058","1",
"2024-07-15","Cambria Tail Risk ETF","TAIL","BZX","14058","21166","-7108","-33.58","24822","1",
